Year,Movie,Directed By,Score (%),Poster,Decade,score_range
1929,The Broadway Melody,Harry Beaumont,33,https://resizing.flixster.com/GjsL2qnKa4xl5-xNQNb1mN4-6YU=/180x240/v1.bTsxMTYxNjUyNztqOzE4NzY2OzIwNDg7MTIwMDsxNjAw,1920,21 to 40
1952,The Greatest Show on Earth,Cecil B. DeMille,42,https://resizing.flixster.com/_ayEXffXEt0-wyHX1bV3TwJgZwE=/180x240/v1.bTsxMTUzNTMxNztqOzE4NzgwOzIwNDg7NTk0Ozc5Mg,1950,41 to 60
1931,Cimarron,Wesley Ruggles,52,https://resizing.flixster.com/kqd1OXd7pciUy6tazan0M98Phdo=/180x270/v1.bTsxMTE2ODc1NztqOzE4Nzg2OzIwNDg7ODAwOzEyMDA,1930,41 to 60
1985,Out of Africa,Sydney Pollack,62,https://resizing.flixster.com/2dBmZCVJkkEAEfIW_y8J0oIB9CM=/180x270/v1.bTsxMTE3MTcwMztqOzE4NzYyOzIwNDg7ODAwOzEyMDA,1980,61 to 80
1933,Cavalcade,Frank Lloyd,64,https://resizing.flixster.com/px5hkUFd-dwxDnoZ617MJn4A9i8=/180x240/v1.bTsxMTYxOTQ3NDtqOzE4Nzg4OzIwNDg7NzY4OzEwMjQ,1930,61 to 80
1936,The Great Ziegfeld,Robert Z. Leonard,64,https://resizing.flixster.com/NfyNCBZm8XEqI0sWfv5rA_wRDU8=/180x240/v1.bTsxMTIxMjYzMjtqOzE4Nzg2OzIwNDg7MjM0MDszMTIw,1930,61 to 80
1956,Around the World in 80 Days,Michael Anderson,69,https://resizing.flixster.com/ytFIVSOWhEZdXrVIkhLmokrZuPk=/180x240/v1.bTsxMTIxMTU4ODtqOzE4Nzc3OzIwNDg7MTUzNjsyMDQ4,1950,61 to 80
1994,Forrest Gump,Robert Zemeckis,71,https://resizing.flixster.com/VQMWXinPDJbKX2raA5z-ttmLWy8=/180x270/v1.bTsxMTE3MzY3NztqOzE4ODAxOzIwNDg7ODAwOzEyMDA,1990,61 to 80
2004,Crash,Paul Haggis,74,https://resizing.flixster.com/3U8yX2-Hka1ofFTCiTAps8EVkMs=/180x270/v1.bTsxMTE3NzU3ODtqOzE4Nzg3OzIwNDg7ODAwOzEyMDA,2000,61 to 80
2001,A Beautiful Mind,Ron Howard,74,https://resizing.flixster.com/4oZZ3HBIkiuWqHlv5A79MXdnmPc=/180x240/v1.bTsxMTYxNDIzMztqOzE4NzY3OzIwNDg7Nzk4OzEwNjQ,2000,61 to 80
1983,Terms of Endearment,James L. Brooks,78,https://resizing.flixster.com/RH0Ou0K7nTEQo5QfgAnDbCl9FMM=/180x240/v1.bTsxMTM3MjM1MztqOzE4ODA0OzIwNDg7MTUzNjsyMDQ4,1980,61 to 80
1995,Braveheart,Mel Gibson,78,https://resizing.flixster.com/e4tLjEtpsGXyhEgJxjfTux-8LRU=/180x270/v1.bTsxMTE2ODkyNTtqOzE4Nzc0OzIwNDg7ODAwOzEyMDA,1990,61 to 80
1947,Gentleman's Agreement,Elia Kazan,76,https://resizing.flixster.com/Fm4EqRl4JnutnXQ_-yl7Blq_ShA=/180x240/v1.bTsxMTIxMzE2MjtqOzE4Nzc2OzIwNDg7MTUzNjsyMDQ4,1940,61 to 80
2000,Gladiator,Ridley Scott,77,https://resizing.flixster.com/k6M8uwJQT1wOKCeD3Oc1yKlKt9Y=/180x270/v1.bTsxMTE2ODk0NDtqOzE4NzkzOzIwNDg7ODAwOzEyMDA,2000,61 to 80
1968,Oliver!,Carol Reed,82,https://resizing.flixster.com/aB7wQpKaMztE1FlHLsV1SyVyq8Q=/180x240/v1.bTsxMTIwNzE3MDtqOzE4NzY5OzIwNDg7MTM5ODsxODY0,1960,81 to 100
1944,Going My Way,Leo McCarey,81,https://resizing.flixster.com/OykIeQhVF7k59EObOI9eynqJ21I=/180x240/v1.bTsxMzQxODIyMDtqOzE4NzcwOzIwNDg7OTU1OzEyNzM,1940,81 to 100
